docname,topic,proportion
Bible_page_227.txt,033,0.806566
Bible_page_227.txt,017,0.113879
Bible_page_227.txt,026,0.079555
Bible_page_236.txt,022,0.536073
Bible_page_236.txt,033,0.333641
Bible_page_236.txt,011,0.130286
Bible_page_1690.txt,005,0.646022
Bible_page_1690.txt,019,0.144925
Bible_page_1690.txt,020,0.130359
Bible_page_1690.txt,002,0.078694
Bible_page_1656.txt,005,0.891419
Bible_page_1656.txt,000,0.108581
Bible_page_2592.txt,011,0.638301
Bible_page_2592.txt,020,0.298313
Bible_page_2592.txt,007,0.063386
Gita_page_44.txt,007,0.986838
Gita_page_44.txt,015,0.013162
Bible_page_1554.txt,018,0.617932
Bible_page_1554.txt,005,0.382068
GuruGranth_page_1156.txt,004,0.226599
GuruGranth_page_1156.txt,031,0.192341
GuruGranth_page_1156.txt,012,0.179413
GuruGranth_page_1156.txt,001,0.173256
GuruGranth_page_1156.txt,021,0.12903
GuruGranth_page_1156.txt,006,0.09936
GuruGranth_page_1364.txt,012,0.895132
GuruGranth_page_1364.txt,001,0.067755
GuruGranth_page_1364.txt,006,0.037113
GuruGranth_page_989.txt,012,0.521883
GuruGranth_page_989.txt,006,0.349463
GuruGranth_page_989.txt,001,0.089775
GuruGranth_page_989.txt,007,0.025364
GuruGranth_page_989.txt,000,0.013514
Bible_page_571.txt,009,0.42736
Bible_page_571.txt,032,0.215212
Bible_page_571.txt,029,0.155723
Bible_page_571.txt,002,0.100167
Bible_page_571.txt,005,0.080227
Bible_page_571.txt,015,0.021311
Bible_page_345.txt,033,0.45645
Bible_page_345.txt,017,0.4294
Bible_page_345.txt,016,0.11415
GuruGranth_page_382.txt,021,0.426723
GuruGranth_page_382.txt,001,0.422594
GuruGranth_page_382.txt,006,0.150684
GuruGranth_page_1234.txt,001,0.419021
GuruGranth_page_1234.txt,004,0.214948
GuruGranth_page_1234.txt,021,0.21095
GuruGranth_page_1234.txt,012,0.09957
GuruGranth_page_1234.txt,014,0.055509
Bible_page_793.txt,029,0.326219
Bible_page_793.txt,019,0.297469
Bible_page_793.txt,018,0.204552
Bible_page_793.txt,003,0.132571
Bible_page_793.txt,009,0.039189
Bible_page_1802.txt,027,0.309624
Bible_page_1802.txt,005,0.272567
Bible_page_1802.txt,002,0.199987
Bible_page_1802.txt,013,0.122674
Bible_page_1802.txt,001,0.081272
Bible_page_1802.txt,020,0.013875
Bible_page_1461.txt,000,0.386517
Bible_page_1461.txt,011,0.303762
Bible_page_1461.txt,022,0.173222
Bible_page_1461.txt,010,0.1365
Bible_page_1506.txt,005,0.334631
Bible_page_1506.txt,003,0.252577
Bible_page_1506.txt,022,0.195465
Bible_page_1506.txt,010,0.158273
Bible_page_1506.txt,009,0.059054
Bible_page_330.txt,017,0.519454
Bible_page_330.txt,003,0.428392
Bible_page_330.txt,015,0.052154
Bible_page_593.txt,002,0.373879
Bible_page_593.txt,015,0.318362
Bible_page_593.txt,029,0.182717
Bible_page_593.txt,003,0.118423
Bible_page_593.txt,006,0.006619
Bible_page_1843.txt,005,0.561733
Bible_page_1843.txt,009,0.174083
Bible_page_1843.txt,019,0.14114
Bible_page_1843.txt,014,0.123045
GuruGranth_page_171.txt,021,0.730016
GuruGranth_page_171.txt,012,0.197383
GuruGranth_page_171.txt,001,0.072601
Bible_page_632.txt,009,0.858477
Bible_page_632.txt,029,0.113798
Bible_page_632.txt,033,0.027725
GuruGranth_page_101.txt,012,0.310894
GuruGranth_page_101.txt,001,0.308861
GuruGranth_page_101.txt,004,0.188481
GuruGranth_page_101.txt,021,0.159955
GuruGranth_page_101.txt,007,0.031808
Bible_page_2530.txt,011,0.462675
Bible_page_2530.txt,020,0.326162
Bible_page_2530.txt,014,0.10864
Bible_page_2530.txt,000,0.102524
GuruGranth_page_1245.txt,004,0.582848
GuruGranth_page_1245.txt,012,0.244806
GuruGranth_page_1245.txt,001,0.079859
GuruGranth_page_1245.txt,006,0.071414
GuruGranth_page_1245.txt,007,0.021072
